"","DATE","HOME_TEAM","AWAY_TEAM","WINNER","0","1"
"366","2014-12-16","SAC","OKC","AWAY",77,60
"367","2014-12-16","WAS","MIN","HOME",83,75
"368","2014-12-17","BOS","ORL","HOME",71,70
"369","2014-12-17","CHA","PHX","AWAY",84,81
"370","2014-12-17","CLE","ATL","AWAY",54,64
"371","2014-12-17","DEN","HOU","AWAY",101,72
"372","2014-12-17","DET","DAL","AWAY",74,70
"373","2014-12-17","LAC","IND","HOME",93,74
"374","2014-12-17","MIA","UTA","AWAY",67,55
"375","2014-12-17","POR","MIL","HOME",78,63
"376","2014-12-17","SAS","MEM","AWAY",109,85
"377","2014-12-17","TOR","BKN","HOME",81,69
"378","2014-12-18","CHI","NYK","HOME",78,68
"379","2014-12-18","GSW","OKC","HOME",80,75
"380","2014-12-18","HOU","NOP","AWAY",82,61
"381","2014-12-18","SAC","MIL","AWAY",63,70
"382","2014-12-19","BOS","MIN","HOME",83,85
"383","2014-12-19","CLE","BKN","HOME",68,59
"384","2014-12-19","DEN","LAC","HOME",86,76
"385","2014-12-19","DET","TOR","AWAY",86,70
"386","2014-12-19","LAL","OKC","AWAY",89,78
"387","2014-12-19","MEM","CHI","AWAY",85,63
"388","2014-12-19","MIA","WAS","AWAY",70,75
"389","2014-12-19","ORL","UTA","AWAY",71,69
"390","2014-12-19","PHI","CHA","AWAY",83,69
"391","2014-12-19","SAS","POR","AWAY",111,76
"392","2014-12-20","CHA","UTA","HOME",74,69
"393","2014-12-20","DAL","SAS","HOME",77,59
"394","2014-12-20","DEN","IND","HOME",113,57
"395","2014-12-20","HOU","ATL","AWAY",83,66
"396","2014-12-20","LAC","MIL","HOME",78,68
"397","2014-12-20","NOP","POR","AWAY",77,59
"398","2014-12-20","NYK","PHX","AWAY",91,68
"399","2014-12-21","BKN","DET","HOME",67,65
"400","2014-12-21","CLE","MEM","HOME",57,61
"401","2014-12-21","MIA","BOS","HOME",76,64
"402","2014-12-21","MIN","IND","AWAY",82,78
"403","2014-12-21","OKC","NOP","AWAY",85,74
"404","2014-12-21","ORL","PHI","AWAY",84,67
"405","2014-12-21","SAC","LAL","HOME",93,71
"406","2014-12-21","TOR","NYK","HOME",82,81
"407","2014-12-21","WAS","PHX","AWAY",84,72
"408","2014-12-22","CHA","DEN","HOME",69,64
"409","2014-12-22","CHI","TOR","HOME",86,82
"410","2014-12-22","DAL","ATL","AWAY",78,72
"411","2014-12-22","GSW","SAC","HOME",73,73
"412","2014-12-22","HOU","POR","HOME",64,60
"413","2014-12-22","MEM","UTA","AWAY",73,61
"414","2014-12-22","SAS","LAC","HOME",68,86
"415","2014-12-23","ATL","LAC","HOME",95,70
"416","2014-12-23","BKN","DEN","HOME",86,70
"417","2014-12-23","CLE","MIN","HOME",77,72
"418","2014-12-23","IND","NOP","HOME",82,65
"419","2014-12-23","LAL","GSW","HOME",71,71
"420","2014-12-23","MIA","PHI","AWAY",84,64
"421","2014-12-23","MIL","CHA","AWAY",71,65
"422","2014-12-23","OKC","POR","AWAY",93,81
"423","2014-12-23","ORL","BOS","HOME",83,64
"424","2014-12-23","PHX","DAL","HOME",89,78
"425","2014-12-23","WAS","CHI","AWAY",93,75
"426","2014-12-25","CHI","LAL","HOME",92,74
"427","2014-12-25","LAC","GSW","HOME",96,60
"428","2014-12-25","NYK","WAS","AWAY",84,79
"429","2014-12-25","SAS","OKC","AWAY",71,72
"430","2014-12-26","ATL","MIL","AWAY",70,60
"431","2014-12-26","BOS","BKN","AWAY",74,79
"432","2014-12-26","DAL","LAL","HOME",94,66
"433","2014-12-26","DEN","MIN","HOME",115,78
"434","2014-12-26","DET","IND","HOME",68,78
"435","2014-12-26","MEM","HOU","AWAY",79,60
"436","2014-12-26","NOP","SAS","HOME",70,65
"437","2014-12-26","OKC","CHA","HOME",91,53
"438","2014-12-26","ORL","CLE","AWAY",76,60
"439","2014-12-26","POR","PHI","HOME",69,57
"440","2014-12-26","SAC","PHX","AWAY",90,81
"441","2014-12-27","BKN","IND","AWAY",80,62
"442","2014-12-27","CHA","ORL","AWAY",92,73
"443","2014-12-27","CHI","NOP","HOME",83,77
"444","2014-12-27","GSW","MIN","HOME",73,62
"445","2014-12-27","LAC","TOR","AWAY",87,75
"446","2014-12-27","MIA","MEM","AWAY",63,60
